Last Name,First Name,Age,Height,Weight,Team,Abbr,GP,G,A,P,TOI,Hits,PIM,+/-
Poolman,Tucker,27,"6'2""",198,Winnipeg Jets,WPG,38,0,1,1,18:17,69,2,-1
Sbisa,Luca,30,"6'3""",205,Nashville Predators,NSH,1,0,0,0,11:58,3,0,0
Bartkowski,Matt,32,"6'1""",196,Minnesota Wild,MIN,1,0,0,0,13:02,1,0,-1
Santini,Steve,25,"6'2""",203,St. Louis Blues,STL,1,0,0,0,5:55,2,0,0
Belpedio,Louis,24,"5'11""",196,Minnesota Wild,MIN,1,0,0,0,13:58,3,0,-1
Brisebois,Guillaume,23,"6'3""",190,Vancouver Canucks,VAN,1,0,0,0,11:31,0,0,0
Leskinen,Otto,23,"5'11""",187,Montreal Canadiens,MTL,1,0,0,0,16:23,1,0,0
Allard,Frederic,23,"6'1""",190,Nashville Predators,NSH,1,0,0,0,16:59,0,0,-2
Middleton,Jacob,24,"6'3""",209,San Jose Sharks,SJS,1,0,0,0,8:44,2,2,-2
Alsing,Olle,24,"5'11""",170,Ottawa Senators,OTT,1,0,0,0,12:05,2,0,0
Farrance,David,21,"5'11""",190,Nashville Predators,NSH,1,0,0,0,13:46,1,0,1
Rathbone,Jack,21,"5'10""",176,Vancouver Canucks,VAN,1,0,0,0,12:04,0,0,0
Keeper,Brady,24,"6'2""",194,Florida Panthers,FLA,1,0,0,0,9:28,1,0,0
Pasichnuk,Brinson,23,"6'0""",185,San Jose Sharks,SJS,1,0,0,0,8:34,1,2,0
Weber,Yannick,32,"5'11""",201,Pittsburgh Penguins,PIT,2,0,0,0,11:19,4,0,-3
Riikola,Juuso,27,"6'0""",190,Pittsburgh Penguins,PIT,2,0,0,0,11:25,5,0,0
Alt,Mark,29,"6'4""",201,Los Angeles Kings,LAK,2,0,0,0,13:35,2,2,0
Czuczman,Kevin,29,"6'3""",209,Pittsburgh Penguins,PIT,2,0,0,0,11:39,1,0,-3
Capobianco,Kyle,23,"6'2""",196,Arizona Coyotes,ARI,2,0,0,0,14:27,1,2,-2
Mermis,Dakota,26,"6'0""",194,Minnesota Wild,MIN,2,0,0,0,16:35,8,0,3
Liljegren,Timothy,21,"6'0""",194,Toronto Maple Leafs,TOR,2,0,0,0,15:05,3,2,1
White,Colton,23,"6'1""",187,New Jersey Devils,NJD,2,0,0,0,14:16,2,0,-1
Ahcan,Jack,23,"5'8""",185,Boston Bruins,BOS,2,0,0,0,19:39,2,0,-3
Söderström,Victor,19,"6'0""",196,Arizona Coyotes,ARI,2,0,0,0,13:41,2,0,1
Zamula,Yegor,20,"6'4""",170,Philadelphia Flyers,PHI,2,0,0,0,17:04,1,0,1
Bernard-Docker,Jacob,20,"6'0""",187,Ottawa Senators,OTT,2,0,0,0,14:02,3,0,0
Ryan,Joakim,27,"5'11""",185,Carolina Hurricanes,CAR,3,0,0,0,8:23,1,0,-1
Middleton,Keaton,22,"6'5""",229,Colorado Avalanche,COL,3,0,0,0,9:18,4,4,-1
Addison,Calen,20,"5'11""",181,Minnesota Wild,MIN,3,0,0,0,18:31,2,0,0
Gilbert,Dennis,24,"6'3""",225,Colorado Avalanche,COL,3,0,0,0,6:43,2,5,0
Heinola,Ville,19,"5'11""",181,Winnipeg Jets,WPG,3,0,0,0,13:35,1,2,1
Claesson,Fredrik,28,"6'1""",205,San Jose Sharks,SJS,4,0,0,0,11:34,8,0,1
Thomas,Ben,24,"6'1""",183,Tampa Bay Lightning,TBL,4,0,0,0,13:56,3,0,1
Juulsen,Noah,23,"6'3""",192,Florida Panthers,FLA,4,0,0,0,11:58,9,0,-3
Ouellet,Xavier,27,"6'1""",194,Montreal Canadiens,MTL,5,0,0,0,13:54,15,2,-3
Benoit,Simon,22,"6'3""",192,Anaheim Ducks,ANA,5,0,0,0,17:22,18,0,-1
Davidson,Brandon,29,"6'2""",209,Buffalo Sabres,BUF,6,0,0,0,15:20,14,4,-4
Niku,Sami,24,"6'1""",176,Winnipeg Jets,WPG,6,0,0,0,12:58,0,8,-3
Kiersted,Matt,22,"6'0""",181,Florida Panthers,FLA,7,0,0,0,15:10,1,2,-4
Bayreuther,Gavin,26,"6'1""",194,Columbus Blue Jackets,CBJ,8,0,0,0,15:16,12,7,-1
Borgen,William,24,"6'3""",198,Buffalo Sabres,BUF,10,0,0,0,16:15,30,4,-4
Siegenthaler,Jonas,23,"6'3""",209,New Jersey Devils,NJD,6,0,0,0,17:09,10,2,-3
Welinski,Andrew,27,"6'1""",201,Anaheim Ducks,ANA,13,0,0,0,15:01,14,0,4
Stillman,Riley,22,"6'1""",190,Chicago Blackhawks,CHI,10,0,0,0,16:55,27,2,-1
